id_inquilino,horario,ritmo,animacion,nivel_educativo,cine,leer ,deporte ,mascotas,comida,dieta,fumador,visitas,orden,musica_tipo,musica_alta,plan_perfecto,instrumento
1,noche,nocturno,si,secundaria,si,no,no,con mascotas,pedir comida,si,si,si,relajada,reggaeton,no,casa,si
2,noche,nocturno,no,secundaria,no,no,no,con mascotas,pedir comida,no,si,si,relajada,reggaeton,si,casa,si
3,noche,madrugador,no,universitaria,no,no,si,con mascotas,pedir comida,no,si,no,ordenada,pop,no,casa,no
4,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,no,no,si,relajada,rock,si,casa,si
5,mañana,nocturno,si,universitaria,no,no,no,sin mascotas,cocinar,no,no,no,relajada,pop,no,casa,no
6,noche,madrugador,no,secundaria,si,si,no,con mascotas,cocinar,si,si,si,relajada,clasica,si,salir,si
7,mañana,madrugador,si,universitaria,no,no,no,con mascotas,cocinar,no,no,no,ordenada,pop,no,casa,no
8,mañana,madrugador,si,universitaria,si,si,no,sin mascotas,cocinar,no,no,si,ordenada,rock,no,casa,no
9,mañana,nocturno,no,universitaria,si,si,no,con mascotas,cocinar,si,si,no,relajada,clasica,si,casa,si
10,noche,madrugador,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,ordenada,pop,si,salir,si
11,mañana,nocturno,si,universitaria,no,no,si,sin mascotas,cocinar,no,no,si,ordenada,pop,no,casa,no
12,mañana,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
13,noche,madrugador,no,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
14,mañana,madrugador,si,primaria,si,no,si,con mascotas,cocinar,no,si,no,relajada,rock,no,casa,no
15,noche,nocturno,no,primaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
16,noche,madrugador,si,universitaria,no,no,si,sin mascotas,cocinar,no,no,no,ordenada,rock,no,casa,no
17,mañana,madrugador,si,secundaria,no,si,si,con mascotas,cocinar,no,no,si,ordenada,pop,no,casa,no
18,noche,nocturno,si,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,rock,si,casa,si
19,mañana,madrugador,no,universitaria,no,no,no,sin mascotas,cocinar,no,no,no,relajada,clasica,no,casa,no
20,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,si,casa,si
21,mañana,madrugador,si,primaria,si,no,no,sin mascotas,cocinar,no,si,si,ordenada,rock,no,casa,no
22,mañana,madrugador,si,universitaria,si,no,si,sin mascotas,cocinar,si,no,no,ordenada,pop,no,casa,no
23,noche,madrugador,no,secundaria,si,si,no,con mascotas,pedir comida,si,si,no,relajada,pop,si,salir,si
24,mañana,madrugador,si,primaria,no,no,si,sin mascotas,pedir comida,no,no,no,ordenada,rock,no,casa,no
25,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,clasica,no,salir,si
26,mañana,nocturno,no,primaria,no,no,si,sin mascotas,cocinar,no,no,no,relajada,pop,no,casa,no
27,noche,nocturno,no,universitaria,no,si,si,con mascotas,pedir comida,si,si,no,ordenada,clasica,si,salir,si
28,noche,madrugador,no,secundaria,si,no,si,con mascotas,pedir comida,si,no,si,relajada,clasica,si,salir,si
29,noche,nocturno,no,universitaria,no,si,no,con mascotas,pedir comida,si,si,no,relajada,clasica,si,casa,si
30,noche,nocturno,si,secundaria,si,si,no,con mascotas,pedir comida,si,no,si,relajada,reggaeton,si,salir,si
31,mañana,madrugador,no,primaria,no,no,si,con mascotas,cocinar,si,si,no,ordenada,clasica,no,casa,no
32,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,cocinar,no,no,no,relajada,pop,no,casa,no
33,noche,nocturno,no,secundaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,reggaeton,si,casa,si
34,noche,nocturno,no,universitaria,no,si,no,con mascotas,pedir comida,si,no,si,ordenada,clasica,si,salir,si
35,noche,madrugador,si,secundaria,si,si,no,con mascotas,pedir comida,no,si,si,relajada,reggaeton,no,salir,si
36,mañana,madrugador,no,universitaria,si,no,si,sin mascotas,cocinar,no,no,si,relajada,pop,si,casa,no
37,mañana,nocturno,si,secundaria,si,no,no,con mascotas,pedir comida,si,si,si,relajada,pop,si,casa,si
38,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,cocinar,no,no,no,ordenada,pop,no,casa,no
39,noche,nocturno,no,secundaria,si,si,no,con mascotas,pedir comida,si,si,no,relajada,reggaeton,si,salir,si
40,mañana,madrugador,si,primaria,no,no,si,sin mascotas,cocinar,no,no,no,ordenada,pop,si,casa,no
41,noche,nocturno,si,primaria,no,no,si,sin mascotas,cocinar,no,no,no,ordenada,rock,no,casa,no
42,noche,madrugador,no,secundaria,si,si,no,con mascotas,cocinar,no,si,no,relajada,reggaeton,si,salir,si
43,noche,nocturno,no,universitaria,si,no,no,sin mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
44,mañana,nocturno,no,universitaria,no,si,no,sin mascotas,pedir comida,si,si,si,relajada,clasica,si,salir,si
45,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,cocinar,si,no,no,ordenada,clasica,no,casa,no
46,noche,madrugador,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,ordenada,clasica,no,casa,si
47,mañana,nocturno,si,primaria,si,no,si,sin mascotas,cocinar,no,no,no,ordenada,rock,no,casa,no
48,noche,nocturno,no,primaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,rock,si,casa,si
49,mañana,madrugador,si,universitaria,no,no,no,sin mascotas,cocinar,no,no,no,ordenada,pop,no,casa,no
50,noche,nocturno,no,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,ordenada,clasica,si,salir,si
51,mañana,madrugador,si,primaria,no,no,si,con mascotas,cocinar,si,si,si,ordenada,rock,no,casa,no
52,mañana,madrugador,si,primaria,no,no,si,con mascotas,cocinar,si,no,no,ordenada,rock,si,casa,no
53,mañana,madrugador,si,universitaria,no,no,si,sin mascotas,pedir comida,no,no,no,ordenada,pop,no,casa,no
54,noche,madrugador,no,secundaria,si,si,no,con mascotas,pedir comida,si,si,si,relajada,reggaeton,no,salir,si
55,noche,madrugador,no,secundaria,si,si,no,con mascotas,pedir comida,si,no,si,relajada,reggaeton,no,salir,si
56,noche,madrugador,no,secundaria,si,si,no,con mascotas,cocinar,si,si,si,relajada,reggaeton,no,salir,si
57,noche,nocturno,no,secundaria,no,si,no,con mascotas,pedir comida,si,no,si,relajada,reggaeton,no,salir,si
58,noche,nocturno,no,universitaria,si,si,no,sin mascotas,cocinar,si,si,si,relajada,reggaeton,si,salir,si
59,noche,nocturno,no,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,ordenada,pop,si,salir,si
60,mañana,nocturno,si,primaria,si,no,si,sin mascotas,cocinar,si,no,no,ordenada,rock,no,casa,no
61,noche,nocturno,no,secundaria,si,no,si,con mascotas,pedir comida,no,si,no,ordenada,reggaeton,no,salir,si
62,mañana,madrugador,no,universitaria,si,no,si,con mascotas,pedir comida,si,no,no,relajada,pop,no,casa,no
63,noche,nocturno,si,secundaria,si,si,no,con mascotas,pedir comida,si,no,si,relajada,reggaeton,no,salir,no
64,mañana,madrugador,no,universitaria,si,no,si,sin mascotas,pedir comida,no,si,no,ordenada,pop,no,salir,no
65,noche,nocturno,no,secundaria,si,si,no,con mascotas,cocinar,si,no,si,relajada,reggaeton,si,salir,si
66,mañana,madrugador,no,secundaria,no,no,si,con mascotas,cocinar,no,no,no,ordenada,rock,no,casa,no
67,mañana,madrugador,si,secundaria,no,no,si,sin mascotas,pedir comida,si,no,no,ordenada,pop,no,casa,no
68,noche,madrugador,no,universitaria,no,no,si,sin mascotas,cocinar,no,si,no,ordenada,reggaeton,no,casa,si
69,mañana,madrugador,no,universitaria,no,no,si,con mascotas,cocinar,no,no,no,ordenada,pop,no,casa,no
70,mañana,nocturno,no,universitaria,no,no,si,sin mascotas,pedir comida,no,no,no,ordenada,rock,si,casa,si
